Program,Question,Qualifying_Answers,Disqualifying_Answers,Notes
SNAP/CalFresh,How many people live in your household and purchase/prepare food together?,Any number (1-8+ people) - determines benefit amount and income limits,None - household size doesn't disqualify but affects eligibility calculations,"Larger households have higher income limits. Must include all people who live together and purchase/prepare food together, including non-relatives."
SNAP/CalFresh,What is your household's total monthly gross income (before taxes and deductions)?,<=200% FPL for most households; <=165% FPL if elderly/disabled member; <=130% FPL for some categories,Income exceeding applicable Federal Poverty Level percentage for household size,"2025 FPL: $1,580/month (1 person), $2,137/month (2 people). Some deductions may apply. Students may have different limits."
SNAP/CalFresh,Does your household include anyone who is 60+ years old or has a disability?,Yes (qualifies for 200% FPL limit) OR No (qualifies for 165% FPL limit),"None - both answers can qualify, just different income limits apply",Elderly/disabled households get higher income limits and may be exempt from certain requirements.
SNAP/CalFresh,Are you a resident of California?,Yes - must be California resident,No - not a California resident,Must apply in county where you live. Temporary absence doesn't disqualify if you intend to return.
SNAP/CalFresh,What is your citizenship/immigration status?,"U.S. citizen OR qualified non-citizen (LPR, refugee, asylee, certain others)","Undocumented immigrants, temporary visitors, students on F-1 visas",Mixed-status households can apply for eligible members. Some non-citizens have 5-year waiting period.
SNAP/CalFresh,"Are you between ages 18-54, able-bodied, and without dependents (ABAWD)?",No (not ABAWD) OR Yes but working 20+ hours/week OR Yes with exemption,Yes and not working 20+ hours/week and no exemption,"ABAWDs limited to 3 months in 36-month period unless working/training. Exemptions include disability, pregnancy, caring for child under 6."
SNAP/CalFresh,Are you a student enrolled at least half-time in college (ages 18-49)?,"No (not a student) OR Yes with qualifying exemption (work 20+ hrs, caring for child under 6, receiving TANF, etc.)","Yes, student without qualifying exemption","Student exemptions include: work-study, caring for dependent under 6, single parent with child under 12, receiving TANF."
SNAP/CalFresh,Do you have less than $100 in liquid resources?,Yes (may qualify for expedited service) OR No but meet other criteria,Excessive liquid resources (varies by household type),"Most households have no asset limits. Elderly/disabled households: $4,250 limit. Expedited service if <$100 and very low income."
Medicaid/Medi-Cal,What is your household's total monthly gross income (before taxes and deductions)?,<=138% FPL (adults) OR <=266% FPL (children/pregnant women),Income exceeding applicable FPL percentage for category,"Different pathways: MAGI (most adults/children), non-MAGI (elderly/disabled). Pregnant women eligible up to 213% FPL."
Medicaid/Medi-Cal,What is your age?,Any age - different pathways available,"None - age determines pathway, not eligibility","Children (0-18), Adults (19-64), Elderly (65+) have different income limits and requirements."
Medicaid/Medi-Cal,Are you currently pregnant?,Yes (higher income limits apply) OR No (standard limits apply),None - pregnancy status affects income limits but doesn't disqualify,Pregnant women eligible up to 213% FPL. Coverage continues through pregnancy and 60 days postpartum.
Medicaid/Medi-Cal,Do you have a disability as defined by Social Security Administration?,Yes (may qualify under disability pathway) OR No (may qualify under other pathways),None - disability status opens additional pathways,Disabled individuals may qualify regardless of age through SSI or other disability pathways.
Medicaid/Medi-Cal,"Do you currently receive SSI, CalFresh, or CalWorks?",Yes - automatically income-eligible for Medi-Cal,"None - if 'No', may still qualify through income or other pathways",Categorical eligibility - receiving these benefits automatically qualifies for Medi-Cal without separate income test.
Medicaid/Medi-Cal,What is your citizenship/immigration status?,U.S. citizen OR qualified non-citizen,Undocumented immigrants (except emergency services),Emergency Medi-Cal available for undocumented immigrants. Some non-citizens subject to 5-year waiting period.
Medicaid/Medi-Cal,Are you a California resident?,Yes - California resident,No - not a California resident,Must intend to reside in California. Temporary absence doesn't disqualify if planning to return.
SSI,"Are you 65 or older, blind, or disabled?","Yes - at least one: Age 65+, blind (specific vision criteria), or disabled (unable to work)","No - under 65, not blind, and not disabled",Must meet SSA definition of disability: unable to engage in substantial gainful activity due to medical condition lasting 12+ months.
SSI,What is your monthly income from non-work sources?,"Less than $987/month for individuals, $1,485/month for couples (2025)","$987+ monthly for individuals, $1,485+ for couples","Includes Social Security, pensions, unemployment. First $20/month excluded. Some income may not count."
SSI,What is your monthly income from work/self-employment?,"Less than $2,019/month for individuals (includes work incentives)","$2,019+ monthly from work","First $65/month excluded, then 50% of remainder excluded. Student exclusions may apply."
SSI,What is the total value of your countable resources?,"Less than $2,000 for individuals, $3,000 for couples","$2,000+ for individuals, $3,000+ for couples","Excludes home, one vehicle, burial funds up to $1,500, household goods, life insurance under $1,500."
SSI,Are you married and living with your spouse?,Yes (couple rates apply) OR No (individual rates apply),"None - affects benefit amount and limits, not eligibility",Couple must both be eligible for SSI to receive couple rate. Otherwise individual rates apply.
SSI,What is your citizenship/immigration status?,U.S. citizen OR qualified non-citizen (LPR before 8/22/96 or meet exceptions),"Most non-citizens who arrived after 8/22/96, undocumented immigrants","Very limited non-citizen eligibility. Refugees/asylees eligible for 7 years, then must meet other criteria."
SSI,"Do you live in one of the 50 states, DC, or Northern Mariana Islands?",Yes - resident of qualifying location,"No - living outside the 50 states, DC, or Northern Mariana Islands","Not available in Puerto Rico, Guam, Virgin Islands. Must be residing in qualifying area to receive benefits."
SSDI,How many Social Security work credits have you earned?,Generally 40+ credits (varies by age - younger workers need fewer),Insufficient work credits for age,"Need 1-39 credits depending on age at disability onset. 1 credit = $1,640 in earnings (2025). Maximum 4 credits per year."
SSDI,How many work credits did you earn in the last 10 years?,Generally 20+ credits in last 10 years before disability (20/40 rule),Fewer than required recent work credits,Recent work test varies by age. Workers disabled before 31 need credits for half the years since age 21.
SSDI,Has your disability lasted or is it expected to last 12 months or more?,Yes - condition lasts/expected to last 12+ months OR is terminal,No - condition expected to last less than 12 months,Must be severe enough to prevent substantial gainful activity. Terminal illnesses qualify immediately.
SSDI,"Are you currently earning more than $1,260 per month from work?","No - earning less than $1,260/month (2025 SGA limit)","Yes - earning $1,260+ monthly (substantial gainful activity)","$2,190/month limit for blind individuals. Trial work periods and work incentives may apply during initial years."
SSDI,Does your condition significantly limit your ability to do basic work activities?,Yes - severe impairment affecting basic work functions,No - condition doesn't significantly limit work ability,"Basic work activities include walking, sitting, lifting, remembering, following instructions. Must be medically documented."
SSDI,Are you under full retirement age?,Yes - under full retirement age (66-67 depending on birth year),No - at or over full retirement age,SSDI automatically converts to retirement benefits at full retirement age. Cannot receive both simultaneously.
Housing Vouchers/Section 8,Is your household income at or below 50% of area median income?,Yes - at or below 50% AMI (very low income) or 30% AMI (extremely low income),No - income exceeds 50% of area median income,75% of vouchers must go to families at/below 30% AMI. Income limits vary by metropolitan area and are updated annually.
Housing Vouchers/Section 8,How many people are in your household?,Any size (1+ people) - determines appropriate unit size and income limits,None - household size affects calculations but doesn't disqualify,Larger households have higher income limits. Bedroom size based on household composition and local housing authority policies.
Housing Vouchers/Section 8,Is the head of household at least 18 years old or legally emancipated minor?,Yes - age 18+ OR legally emancipated minor,No - under 18 and not legally emancipated,Emancipated minors need court documentation. Some programs have special provisions for youth aging out of foster care.
Housing Vouchers/Section 8,What is your citizenship/immigration status?,U.S. citizen OR eligible non-citizen as defined by HUD,Non-eligible immigration status,Mixed-status families can apply but only eligible members counted for voucher size. Must provide immigration documentation.
Housing Vouchers/Section 8,Do you have any disqualifying criminal convictions?,No disqualifying convictions OR eligible for waiver/rehabilitation consideration,"Yes - conviction for drug manufacturing/distribution, lifetime sex offender registration, or recent violent crimes",PHAs have discretion for most crimes except lifetime drug/sex offenses. Background checks required for all adult household members.
Housing Vouchers/Section 8,Does the head of household have a valid Social Security Number?,Yes - valid SSN for head of household,No - no valid SSN for head of household,All household members over 6 must have or apply for SSN. Mixed-status families may have different requirements.
TANF,Do you have dependent children under 18 (or 19 if full-time student)?,Yes - have dependent child(ren) under 18 (or 19 if in school full-time),No - no dependent children in household,Child must live with parent/caretaker relative. 19-year-olds must be full-time students expected to graduate by age 19.
TANF,Is your household's monthly gross income below the state limit?,Yes - gross income below state-set limits (varies by state and family size),No - income exceeds state maximum for family size,"California 2025: roughly $1,000-$1,600/month depending on family size. Varies significantly by state."
TANF,Do you have countable assets under state limits?,"Yes - assets under $1,000-$2,000 (varies by state)",No - assets exceed state limits,"Excludes home, one vehicle, household goods, burial plots. Some states have higher limits or no asset test."
TANF,Are you a U.S. citizen or qualified non-citizen who has been in the U.S. for 5+ years?,U.S. citizen OR qualified non-citizen meeting 5-year requirement OR exempt category,Non-citizen not meeting requirements,"5-year bar applies to most non-citizens. Exceptions for refugees, asylees, veterans, active military families."
TANF,Have you received TANF benefits for less than 48 months in your lifetime?,Yes - received TANF for less than 48 months lifetime,No - already received 48+ months of TANF benefits,"Federal 60-month limit, but California has 48-month limit. Some states have shorter limits. Hardship exemptions may apply."
TANF,Are you able to participate in work activities or have an exemption?,Yes - able to participate in work/training OR qualify for exemption,No - unable/unwilling to participate without valid exemption,"Exemptions: caring for child under 12 months, disabled, caring for disabled family member, pregnant (later months)."
TANF,Are all children ages 6-17 in your household attending school regularly?,Yes - all school-age children attending regularly OR no school-age children,No - school-age children not attending school without valid excuse,Homeschooling acceptable if meets state requirements. Medical/family emergencies may excuse absences.
TANF,Are you willing to cooperate with child support enforcement?,Yes - willing to cooperate with child support establishment/collection,No - unwilling to cooperate without good cause exemption,"Good cause exemptions for domestic violence, risk to child safety, pending adoption. Must identify other parent if known."
WIC,"Are you pregnant, breastfeeding, postpartum, or have children under 5?","Yes - pregnant, breastfeeding (up to 1 year), postpartum (up to 6 months), infants, or children under 5",No - don't fit any eligible category,Postpartum women eligible 6 months after birth. Breastfeeding women eligible up to child's 1st birthday.
WIC,Is your household income at or below 185% of Federal Poverty Level?,Yes - at or below 185% FPL for household size,No - income exceeds 185% FPL,"2025: $2,915/month (family of 3), $3,523/month (family of 4). Higher than SNAP but lower than some Medicaid categories."
WIC,"Do you currently receive Medicaid, SNAP, or TANF?",Yes - receiving any of these benefits (automatically income-eligible) OR No but meet income test,"None - if 'No', must meet income requirements separately",Categorical eligibility - receiving these benefits means automatic income qualification without separate income verification.
WIC,Are you a California resident?,Yes - California resident,No - not a California resident,"Must live in California. Temporary absence (vacation, medical care) doesn't disqualify if intending to return."
WIC,Do you have a medical or dietary condition putting you at nutritional risk?,Yes - at nutritional risk (medical or dietary-based) as determined by health professional,No - not at nutritional risk,"Determined by WIC nutritionist/healthcare provider. Includes medical conditions, dietary deficiencies, failure to thrive."
LIHEAP,Is your household income within LIHEAP guidelines for your area?,Yes - income at or below local LIHEAP limits (typically around 60% state median income),No - income exceeds local LIHEAP guidelines,"Guidelines vary by provider and region. Some areas use 200% FPL, others use state median income percentages."
LIHEAP,Is the applicant at least 18 years old?,Yes - applicant is 18+ years old,No - applicant under 18,Applicant must be adult household member responsible for energy bills. Emancipated minors may qualify with documentation.
LIHEAP,"Is your household elderly (60+), disabled, or have children under 6?",Yes - household includes vulnerable members OR No but still may qualify,None - priority factor but not required for eligibility,"Priority for limited funds given to households with elderly, disabled, or young children. Others served as funding allows."
LIHEAP,Do you pay a high portion of your income for energy costs?,Yes - high energy burden (typically 6%+ of income) OR any burden level,None - affects priority but not basic eligibility,High energy burden increases priority for assistance. Some programs prioritize households spending 10%+ on energy.
LIHEAP,Do you have a disconnection notice or energy-related emergency?,Yes - have disconnection notice or energy crisis OR No but qualify for regular assistance,"None - crisis determines type of assistance, not eligibility",Crisis assistance available year-round. Regular assistance typically seasonal. Some areas require notice/shutoff for priority.
LIHEAP,Do you live in the service area of a LIHEAP provider?,Yes - live in area served by LIHEAP provider,No - live outside any LIHEAP provider service area,Must apply to provider serving your address. Service areas usually by county or utility territory.
